ccm_exclude,ccm_meta,ccm_meta_pca,ccm_annotate,dataset_id,experiment_id,platform_id,asset_id,asset_data_access,effect_id,model_type,comparison,comparison_levels,model_group,model_pairing,model_covariates,model_timepoint,model_exclude_samples,comments,sample_tissue,tissue,condition
,0,-1,all,GSE142025__GPL20301,GSE142025,GPL20301,crv://GSE142025_vJu2Y/rnaseq,public,DKD_Advanced,Group,DKD_Advanced_vs_HC,!sample_classification,"group__DKD_Advanced_vs_HC:{HC:A,advanced:B}",,,,,NA,,kidney,diabetic kidney disease
,0,-1,all,GSE142025__GPL20301,GSE142025,GPL20301,crv://GSE142025_vJu2Y/rnaseq,public,DKD_Early,Group,DKD_Early_vs_HC,!sample_classification,"group__DKD_Early_vs_HC:{HC:A,early:B}",,,,,NA,,kidney,diabetic kidney disease
,0,-1,all,GSE142025__GPL20301,GSE142025,GPL20301,crv://GSE142025_vJu2Y/rnaseq,public,DKD_Kidney,DZvsHC,DZ_vs_HC_Kidney,!sample_classification,"group__DKD_vs_HC:{HC_kidney:A,DZ_kidney:B}",,,,,control samples were taken from tumor adjacent,,kidney,diabetic kidney disease
,1,1,all,GSE142025__GPL20301,GSE142025,GPL20301,crv://GSE142025_vJu2Y/rnaseq,public,DKD,DZvsHC,DZ_vs_HC,!sample_classification,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,control samples were taken from tumor adjacent,,kidney,diabetic kidney disease
,0,-1,all,GSE142025__GPL20301,GSE142025,GPL20301,crv://GSE142025_vJu2Y/rnaseq,public,DKD_stage,Group,DKD_stage,"sample_classification@group__DKD_stage:{early: A, advanced: B}","group__DKD_stage:{early:A,advanced:B}",,,,,NA,,kidney,diabetic kidney disease
,1,-1,all,GSE30528__GPL571,GSE30528,GPL571,crv://GSE30528_1aD8M/GPL571,public,DKD_Glomerulus,DZvsHC,DZ_vs_HC_Glomerulus,!sample_classification,"group__DKD_vs_HC:{HC_glome:A,DZ_glome:B}",,,,,Normal transplant donors or biopsy samples of the unaffected portion of tumor nephrectomies,,kidney,diabetic kidney disease
,1,1,all,GSE30528__GPL571,GSE30528,GPL571,crv://GSE30528_1aD8M/GPL571,public,DKD,DZvsHC,DZ_vs_HC,!sample_classification,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,Normal transplant donors or biopsy samples of the unaffected portion of tumor nephrectomies,,kidney,diabetic kidney disease
,1,-1,all,GSE30529__GPL571,GSE30529,GPL571,crv://GSE30529_lEvZT/GPL571,public,DKD_Tubule,DZvsHC,DZ_vs_HC_Tubule,!sample_classification,"group__DKD_vs_HC:{HC_tubule:A,DZ_tubule:B}",,,,,Normal transplant donors or biopsy samples of the unaffected portion of tumor nephrectomies,,kidney,diabetic kidney disease
,1,1,all,GSE30529__GPL571,GSE30529,GPL571,crv://GSE30529_lEvZT/GPL571,public,DKD,DZvsHC,DZ_vs_HC,!sample_classification,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,Normal transplant donors or biopsy samples of the unaffected portion of tumor nephrectomies,,kidney,diabetic kidney disease
,0,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Focal_Seg_Glome,Group,DKD_vs_Focal_Seg_Glome,,"group__DKD_vs_Focal_Glome:{DZ:A,focal_seg_glome:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,0,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Kidney_Cancer,Group,DKD_vs_Kidney_Cancer,,"group__DKD_vs_Kidney_Cancer:{DZ:A,kidney_cancer:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,0,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Lipoid_Nephrosis,Group,DKD_vs_Lipoid_Nephrosis,"condition@group__DKD_vs_Lipoid_Nephrosis:{diabetic kidney disease: A, lipoid nephrosis: B}","group__DKD_vs_Lipoid_Nephrosis:{DZ:A,lipoid_nephrosis:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,1,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Membranous_Glome,Group,DKD_vs_Membranous_Glome,,"group__DKD_vs_Membranous_Glome:{DZ:A,membranous_glome:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,0,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Rapidly_Prog_Glome,Group,DKD_vs_Rapidly_Prog_Glome,,"group__DKD_vs_Rapidly_Prog_Glome:{DZ:A,rapidly_prog_glome:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,0,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Thin_Membrane_Disease,Group,DKD_vs_Thin_Membrane_Disease,,"group__DKD_vs_Thin_Membrane_disease:{DZ:A,thin_membrane_disease:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,1,-1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD_Tubule,DZvsHC,DZ_vs_HC_Tubule,,"group__DKD_vs_HC:{HC_tubule:A,DZ_tubule:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,1,1,all,GSE47184__GPL14663,GSE47184,GPL96,ccw://wf-d6fc74c532:0:GSE47184.RDS,public,DKD,DZvsHC,DZ_vs_HC,,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,Substantial overlap with GSE99325,,kidney,diabetic kidney disease
,1,-1,all,GSE96804__GPL17586,GSE96804,GPL17586,crv://GSE96804_ThQno/GPL17586,public,DKD_Glomerulus,DZvsHC,DZ_vs_HC_Glomerulus,!sample_classification,"group__DKD_vs_HC:{HC_glome:A,DZ_glome:B}",,,,,control samples are tumor adjacent and DKD are type 2 diabetes mellitus,,kidney,diabetic kidney disease
,1,1,all,GSE96804__GPL17586,GSE96804,GPL17586,crv://GSE96804_ThQno/GPL17586,public,DKD,DZvsHC,DZ_vs_HC,!sample_classification,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,control samples are tumor adjacent and DKD are type 2 diabetes mellitus,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Focal_Seg_Glome,Group,DKD_vs_Focal_Seg_Glome,,"group__DKD_vs_Focal_Glome:{DZ:A,focal_seg_glome:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_IgA_Glome,Group,DKD_vs_IgA_Glome,,"group__DKD_vs_IgA_Glome:{DZ:A,iga_glome:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Kidney_Cancer,Group,DKD_vs_Kidney_Cancer,,"group__DKD_vs_Kidney_Cancer:{DZ:A,kidney_cancer:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Lipoid_Nephrosis,Group,DKD_vs_Lipoid_Nephrosis,,"group__DKD_vs_Lipoid_Nephrosis:{DZ:A,lipoid_nephrosis:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Membranous_Glome,Group,DKD_vs_Membranous_Glome,,"group__DKD_vs_Membranous_Glome:{DZ:A,membranous_glome:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Rapidly_Prog_Glome,Group,DKD_vs_Rapidly_Prog_Glome,,"group__DKD_vs_Rapidly_Progressive_Glome:{DZ:A,rapidly_prog_glome:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Renal_Hypertension,Group,DKD_vs_Renal_Hypertension,,"group__DKD_vs_Renal_Hypertension:{DZ:A,renal_hypertension:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Systemic_Lupus_Erythematosus,Group,DKD_vs_Systemic_Lupus_Erythematosus,,"group__DKD_vs_Systemic_Lupus_Erythematosus:{DZ:A,systemic_lupus_erythematosus:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,0,-1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD_Thin_Membrane_Disease,Group,DKD_vs_Thin_Membrane_Disease,,"group__DKD_vs_Kidney_Disease:{DZ:A,thin_membrane_disease:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
,1,1,all,GSE99325__GPL19184,GSE99325,GPL96,ccw://wf-48825b6c7c:0:GSE99325.RDS,public,DKD,DZvsHC,DZ_vs_HC,,"group__DKD_vs_HC:{HC:A,DZ:B}",,,,,Substantial overlap with GSE47184,,kidney,diabetic kidney disease
